agent_family,origin,session_id,project_name,thread_title,token_source,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,first_timestamp,project_or_title
claude,data_snapshot:kali-aslan-20260319,178ec1fe-da2f-450b-beba-657bb47de8b8,Spresense_demo,,claude_message_usage,125473,7722112,33291,0,158764,2026-02-26 16:23:41.310000+00:00,Spresense_demo
claude,data_snapshot:kali-aslan-20260319,18c7fa20-5ac3-4a88-9f59-d0e9ecb05acd,Spresense_demo,,claude_message_usage,1017538,49298304,112845,0,1130383,2026-02-26 17:39:28.704000+00:00,Spresense_demo
claude,data_snapshot:kali-aslan-20260319,7131ea53-9546-4c0b-b411-ea8b58cd2a69,Spresense_demo,,claude_message_usage,8676,75008,923,0,9599,2026-02-26 17:33:04.199000+00:00,Spresense_demo
claude,data_snapshot:kali-aslan-20260319,bf41fcd0-aa4a-427d-bf93-53de9ffdb5b1,Spresense_demo,,claude_message_usage,24103,1792,359,0,24462,2026-02-26 17:36:20.448000+00:00,Spresense_demo
claude,data_snapshot:prox-200-maki-20260319,036ed76d-1251-4b98-8508-b6aac6b27886,momu,,claude_message_usage,42871,24960,1841,0,44712,2026-02-09 12:59:24.493000+00:00,momu
claude,data_snapshot:prox-200-maki-20260319,049b1b78-0bca-42c7-b5ab-2af058720da1,sample08,,claude_message_usage,179418,11008256,46060,0,225478,2026-02-07 18:14:36.378000+00:00,sample08
claude,data_snapshot:prox-200-maki-20260319,04be7aa6-04e3-4dc6-86d6-31c244d2c94c,nannj,,claude_message_usage,49133,206336,2405,0,51538,2026-02-09 16:07:26.763000+00:00,nannj
claude,data_snapshot:prox-200-maki-20260319,05324b42-7420-46dd-bf3c-08b3c1beb875,article-writers,,claude_message_usage,28693,434560,4331,0,33024,2026-02-09 15:18:05.677000+00:00,article-writers
claude,data_snapshot:prox-200-maki-20260319,061f1a94-6be6-4425-9d90-57cde21b2e47,objective-function,,claude_message_usage,53509,263808,3206,0,56715,2026-02-06 17:54:22.323000+00:00,objective-function
claude,data_snapshot:prox-200-maki-20260319,07484352-15fc-416c-871d-0f5c48079f91,ai-agent-desktop-ubuntu,,claude_message_usage,2194,23360,1129,0,3323,2026-02-21 19:37:20.096000+00:00,ai-agent-desktop-ubuntu
claude,data_snapshot:prox-200-maki-20260319,084e0d2a-5e30-4265-ae4c-f21e13807c97,MysticLibrary,,claude_message_usage,23372,26624,1046,0,24418,2026-02-12 12:28:47.916000+00:00,MysticLibrary
claude,data_snapshot:prox-200-maki-20260319,08c022e4-0058-48fd-8b86-9dff6e1081bf,cc-Agent-teams-sandbox,,claude_message_usage,122340,1166976,28216,0,150556,2026-02-06 09:48:44.838000+00:00,cc-Agent-teams-sandbox
claude,data_snapshot:prox-200-maki-20260319,08fc85aa-91ea-4f7b-a635-5df283f014f7,MysticLibrary,,claude_message_usage,35884,283392,1969,0,37853,2026-02-12 14:14:57.445000+00:00,MysticLibrary
claude,data_snapshot:prox-200-maki-20260319,0b0471cc-f1ae-428d-aebe-47283d1b80e1,sample02,,claude_message_usage,32690,174848,749,0,33439,2026-02-07 10:33:29.078000+00:00,sample02
claude,data_snapshot:prox-200-maki-20260319,0d89c355-16d8-4ba6-973a-fbc90faa1103,zero-cc,,claude_message_usage,18350,592128,7507,0,25857,2026-02-16 08:32:59.565000+00:00,zero-cc
claude,data_snapshot:prox-200-maki-20260319,0e3e8a8d-3157-46e7-b467-359696d49901,maki,,claude_message_usage,17547,3712,264,0,17811,2026-02-06 07:19:46.984000+00:00,maki
claude,data_snapshot:prox-200-maki-20260319,0e80d4f2-e777-4d97-b5f1-6aee03509d10,claude-glm-actions-lab-sandbox,,claude_message_usage,237126,8966784,27380,0,264506,2026-02-06 12:28:52.751000+00:00,claude-glm-actions-lab-sandbox
claude,data_snapshot:prox-200-maki-20260319,0eb5a651-8e68-4456-a8a3-b944ee3e2e02,cc-Agent-teams-sandbox,,claude_message_usage,74615,3006592,16960,0,91575,2026-02-06 12:50:20.107000+00:00,cc-Agent-teams-sandbox
claude,data_snapshot:prox-200-maki-20260319,10cd5869-f255-48f1-b49d-4f91d5285b0b,last-train,,claude_message_usage,46161,1252608,11020,0,57181,2026-02-09 13:27:12.938000+00:00,last-train
claude,data_snapshot:prox-200-maki-20260319,11267671-dc93-4ea6-9d7b-b4cc55807597,sat-cafe,,claude_message_usage,11514,347904,2365,0,13879,2026-02-09 14:31:57.980000+00:00,sat-cafe
claude,data_snapshot:prox-200-maki-20260319,12104cc4-e8b4-49e4-8029-2460eeac7a79,RECAPTOR,,claude_message_usage,558621,4346496,32537,0,591158,2026-02-04 13:02:19.023000+00:00,RECAPTOR
claude,data_snapshot:prox-200-maki-20260319,1228f05d-ee82-448a-a547-4b015dad03d1,objective-function,,claude_message_usage,29788,323456,2292,0,32080,2026-02-05 13:24:43.305000+00:00,objective-function
claude,data_snapshot:prox-200-maki-20260319,135575f0-d138-43b4-be8a-ce9b21ee40cc,claude-glm-actions-lab-sandbox,,claude_message_usage,132864,1689216,5648,0,138512,2026-01-22 10:49:17.118000+00:00,claude-glm-actions-lab-sandbox
claude,data_snapshot:prox-200-maki-20260319,1450c5d8-92d1-42e1-a79c-db0ad723de0b,RECAPTOR,,claude_message_usage,126854,595456,3836,0,130690,2026-02-04 12:47:11.183000+00:00,RECAPTOR
claude,data_snapshot:prox-200-maki-20260319,15e735e3-c725-44c7-8722-d1eaaeb51127,ctf-team,,claude_message_usage,55394,2198016,18127,0,73521,2026-02-08 15:19:53.554000+00:00,ctf-team
claude,data_snapshot:prox-200-maki-20260319,18ecd490-232a-4c60-9a4a-c1c5843d3ae4,submarine,,claude_message_usage,209594,4843008,20537,0,230131,2026-02-08 10:55:56.582000+00:00,submarine
claude,data_snapshot:prox-200-maki-20260319,1a0c93ad-c647-42e9-83d2-533e2e6709ee,sample11,,claude_message_usage,206068,7755008,53573,0,259641,2026-02-08 09:51:05.518000+00:00,sample11
claude,data_snapshot:prox-200-maki-20260319,1a9dfc6e-4185-48e7-b483-64c40cda27e3,submarine,,claude_message_usage,643564,10868096,78765,0,722329,2026-02-08 10:55:08.402000+00:00,submarine
claude,data_snapshot:prox-200-maki-20260319,1b066dd3-1eb5-46f0-8687-635bf2319563,MysticLibrary,,claude_message_usage,320780,10735744,41039,0,361819,2026-02-12 12:44:31.886000+00:00,MysticLibrary
claude,data_snapshot:prox-200-maki-20260319,1b27535d-e479-4490-8565-d14ddfca747b,claude-glm-actions-lab-sandbox,,claude_message_usage,29584,351104,1435,0,31019,2026-02-06 12:29:30.697000+00:00,claude-glm-actions-lab-sandbox
claude,data_snapshot:prox-200-maki-20260319,1b9a3354-14ef-4e5b-ad27-5d4b904754b7,zero-cc,,claude_message_usage,26644,436224,2803,0,29447,2026-02-04 16:08:39.786000+00:00,zero-cc
